food_name,quantity,unit,protein_g,carbs_g,fat_g,calories
Garlic Powder,1,tsp,16.8,72.71,0.76,332
Cauliflower (Frozen),100,g,2.01,4.68,0.27,24
Green Peas (Frozen),1,cup,5.21,13.71,0.37,77
Leeks,100,g,1.5,14.15,0.3,61
Baked Potato Stuffed with Cheese (Peel Eaten),1,medium,4.61,18.79,5.36,139
"Green Peas (Drained Solids, Canned)",100,g,4.42,12.58,0.35,69
"Yam (Without Salt, Drained, Cooked, Boiled, Baked)",100,g,1.49,27.58,0.14,116
Garlic,1,clove,6.36,33.06,0.5,149
"Leeks (Bulb and Lower Leaf-Portion) (with Salt, Drained, Cooked, Boiled)",1,leek,0.81,7.62,0.2,31
Pickled Eggplant,100,g,0.9,9.77,0.7,49
Okra,100,g,2,7.03,0.1,31
Spaghetti Winter Squash,100,g,0.64,6.91,0.57,31
Turnips,100,g,0.9,6.43,0.1,28
Cooked Beets (from Fresh),1,cup,1.63,9.69,2.28,61
Acorn Winter Squash,1,cup,0.8,10.42,0.1,40
Dill Cucumber Pickles (Low Sodium),1,medium,0.62,4.13,0.19,18
Red Cabbage,1,cup,1.43,7.37,0.16,31
Sour Cucumber Pickle,100,g,0.33,2.26,0.2,11
"Yellow Sweet Corn (Kernels On Cob, with Salt, Frozen, Drained, Cooked, Boiled)",1,ear,3.11,22.33,0.74,93
Young Green Onions,100,g,1.83,7.34,0.19,32
Broccoli Raab,1,oz,3.17,2.85,0.49,22
"Pumpkin (with Salt, Canned)",100,g,1.1,8.09,0.28,34
Green Leaf Lettuce,100,g,1.36,2.79,0.15,15
Roasted Potato,1,medium,2.32,20.06,7,149
Cooked Pumpkin,100,g,1.08,7.94,1.75,46
Artichokes (Globe or French),1,medium,3.27,10.51,0.15,47
Mashed Potato (from Fresh),1,cup,2.11,13.22,6.96,122
Cooked Pumpkin (from Canned),100,g,1.08,7.94,1.75,46
Mashed Potatoes (Whole Milk Added),100,g,1.92,17.53,0.57,83
Cauliflower,1,cup,1.98,5.3,0.1,25
Cooked Leek,1,leek,1.51,14.24,4,94
Cooked Okra,1,cup,1.92,5.08,2.32,43
Baked Potato (Peel Eaten),1,medium,2.43,20.53,2.2,109
Baked Potato (Peel Not Eaten),1,medium,1.95,21.39,0.1,92
"Mushrooms (Drained Solids, Canned)",100,g,1.87,5.09,0.29,25
Italian Cherry Tomatoes,100,g,1,6,0,30
Mature Red Chili Hot Peppers (Canned),1,tbsp,0.9,3.9,0.6,21
Cooked Green Peas (Canned),1,cup,4.31,12.29,2.46,86
Yellow Summer Squash,1,cup,1.21,3.35,0.18,16
Cooked Spinach (from Fresh),1,cup,2.88,3.68,2.25,40
Sweet Onions,1,oz,0.8,7.55,0.08,32
Cooked Kale (from Canned),1,cup,1.83,5.47,3.12,51
Stuffed Green Olives,1,small,1.04,4.02,13.22,128
Green Cabbage,100,g,1.44,5.58,0.12,24
Zucchini (Frozen),100,g,1.16,3.59,0.13,17
"Yellow Sweet Corn (Whole Kernel, Drained Solids, Canned)",100,g,2.62,18.59,1,81
Eggplant,100,g,1.01,5.7,0.19,24
Green Chili Peppers (Canned),1,oz,0.72,4.6,0.27,21
Onions,100,g,0.92,10.11,0.08,42
"Sweet Potato (Without Skin, Cooked, Boiled)",100,g,1.37,17.72,0.14,76
"Cooked Cauliflower (from Fresh, Fat Not Added in Cooking)",1,cup,1.83,4.08,0.45,23
"Sweet Potato (Mashed, Canned)",1,cup,1.98,23.19,0.2,101
Cooked Turnip,1,cup,0.69,4.94,2.37,42
Cooked Mixed Vegetables,100,g,2.78,12.74,2.12,81
Mashed Potato,1,cup,1.8,15.72,3.54,100
"Asparagus (Drained Solids, Canned)",1,spear,2.14,2.46,0.65,19
Cucumber,100,g,0.65,3.63,0.11,15
Fried Okra,100,g,2.58,14.26,14.06,188
Green Olives,1,small,1.03,3.84,15.32,145
"Spinach (Drained Solids, Canned)",1,cup,2.81,3.4,0.5,23
Sweet Potato,100,g,1.57,20.12,0.05,86
Red Tomatoes,1,medium,0.88,3.92,0.2,18
Baked  Trout,100,g,24.37,0.41,9.16,188
Grilled Fish,1,fillet,22.6,0.28,1.18,109
Fish,100,g,17.76,0,0.92,84
